fk_word,def_en,def_es,translation
787,moving or happening at a low speed,moverse o suceder a una velocidad baja,lento/lenta
788,"A type of food made from milk, often served as a snack or used in cooking.","Un tipo de alimento hecho con leche, a menudo servido como un snack o utilizado en la cocina.",queso
789,having a quality of resemblance,teniendo una calidad de semejanza,similar
790,A cake is a sweet baked dessert.,Un pastel es un dulce postre horneado.,pastel/torta
791,the main substance of an animal used as food,la sustancia principal de un animal utilizado como alimento,carne
792,The study of the natural world around us.,El estudio de la naturaleza que nos rodea.,ciencia
793,not able to be ridden,inaccesible,libre de
794,to stake something or someone in the hope of winning it back,apostar algo o a alguien en la esperanza de ganarlo de nuevo,apostar
795,the act of making something greater in amount or degree,el acto de hacer que algo sea mayor en cantidad o grado,aumento
796,A series of values or points that are ordered in ascending or descending order.,Una serie de valores o puntos que están ordenados en orden ascendente o descendente.,rango/gama
797,An egg is a food item laid by female birds and mammals.,Un huevo es un alimento producido por las aves y mamíferos femeninas.,huevo
798,Having the color of ripe strawberries.,Teniendo el color de las fresas maduras,rosado/rosada
799,A boundary or limit between two areas.,Una frontera o límite entre dos áreas.,borde
800,having or showing a favorable outlook,teniendo o demostrando una actitud favorable,positivo/positiva
801,the quality or state of being sexual,la calidad o estado de ser sexual,sexo
802,a process or activity performed to achieve a specific goal,un proceso o actividad realizada para lograr un objetivo específico,operación
803,the systematic investigation into a subject or question,la investigación sistemática de un tema o pregunta,investigación
804,A mistake is a false statement or action with undesirable consequences.,Un error es una afirmacion o accion falsa que tiene consecuencias indeseables.,error
805,required or owed at a certain time or on a certain date.,debido o obligatorio en un tiempo o fecha determinada.,debido
806,a financial obligation that must be paid off,una obligacion financiera que debe pagarse,deuda
807,to make a commitment or guarantee something,hacer un compromiso o garantizar algo,prometer
808,a natural substance formed from crystallized water,una sustancia natural formada por agua cristalizada,nieve
809,The sky is the atmosphere that surrounds the Earth.,El cielo es la atmósfera que rodea la Tierra.,cielo
810,A savory condiment used to enhance the flavor of food.,Una salsa que se utiliza para realzar el sabor de la comida.,salsa
811,used to describe someone or something that is completely out of control or unreasonably extreme,se utiliza para describir a alguien o algo que está completamente fuera de control o extremadamente razonablemente irracional,loco/loca
812,a beginning or starting point of something,un punto de comienzo o início de algo,apertura
813,Having a high price or cost.,Teniendo un alto precio o costo.,costoso/costosa
814,"A region is an area of land or sea defined by a boundary, often used to describe geographical areas.",Una región es un área de tierra o mar definida por una frontera,región
815,a confusing or unpleasant situation,un problema o situación confusa y desagradable,desorden
816,A place for sitting.,Un lugar para sentarse.,asiento
817,lacking good sense or judgment.,falta de buen sentido o juicio.,estúpido/estúpida
818,to supply or offer something needed or wanted,fornecer o ofrecer algo necesario o deseado,proporcionar
819,A voluntary organization that provides aid to those in need.,Una organización voluntaria que brinda ayuda a quienes lo necesitan.,caridad
820,a period of time during which a person is alive,un período de tiempo durante el cual una persona vive,aumento/subida
821,a room for making art or music,un espacio para hacer arte o música,estudio
822,A group of people appointed to oversee the administration of an organization or a specific activity.,Un grupo de personas designadas para supervisar la administración de una organización o una actividad específica.,comisión
823,used for addition or in combination,usado para la adiccion o en combinacion,más
824,the state of being concentrated on something,el estado de estar enfocado en algo,enfoque
825,a young child,un niño pequeño,niño/niña
826,"A natural material obtained from trees and used for construction, fuel, and furniture.","Un material natural obtenido de los árboles y utilizado para la construcción, el combustible y la mueble.",madera
827,the opening through which air is breathed,el espacio por el que se respira aire,boca
828,A quadrilateral with four equal sides and four right angles.,Un cuadrilátero con cuatro lados iguales y cuatro ángulos rectos.,cuadrado/plaza
829,to judge or estimate the value of something,judgar o estimar el valor de algo,creer/calcular
830,a journey or trip on a vehicle,un viaje o viaje en vehculo,paseo
831,extremely bad or unpleasant,muy malo o desagradable,horrible
832,unless used to indicate a condition under which something will or will not happen,a menos que utilizado para indicar una condición bajo la cual algo sucederá o no sucederá,a menos que
833,A loud and unpleasant sound.,Un sonido fuerte y desagradable.,ruido
834,to show or demonstrate the truth of something,mostrar o demostrar la verdad de algo,probar
835,to start or initiate something,initiar o comenzar algo,comenzar
836,"a loud, short laugh",un riso fuerte y breve,risa
837,a feeling of deep esteem and respect for someone or something,un sentimiento de profunda estima y respeto por alguien o algo,respeto
838,A type of fossil fuel used as a fuel source.,Un tipo de combustible fósil utilizado como fuente de combustible.,gas
839,used to indicate a point or distance beyond the present time or place,se utiliza para indicar un punto o distancia más allá del tiempo presente o lugar,más allá de
840,The capital of a country is its largest city.,La capital de un país es su ciudad más grande.,capital
841,"The main meal of the day, typically eaten in the evening.","El plato principal del día, generalmente comido por la noche.",cena
842,extremely large or heavy,muy grande o pesado,gordo/gorda
843,The title of a movie or book is usually the name by which it is most commonly known.,El título de una película o libro es generalmente el nombre por el cual se conoce comúnmente,título
844,a group of people chosen to make decisions for an organization or community.,un grupo de personas elegidas para tomar decisiones en una organización o comunidad.,comité
845,A county is a geographical subdivision of a country.,Un condado es una subdivisión geográfica de un país.,condado
846,a large piece of land owned by one person or organization,una gran parcela de tierra poseída por una persona o organización,finca/patrimonio
847,to make something visible or known,hacer visible o conocido,revelar
848,A sweet food made from roasted cacao beans.,Un delicioso alimento hecho de granos de cacao tostados.,chocolate
849,a large vessel that travels on water,un gran barco que viaja sobre el agua,barco
850,a collection of water vapor or ice crystals in the sky,una colección de vapor de agua o hielo en el cielo,nube
851,A painting is a visual art form that uses an intentionally applied medium to convey aesthetic experience or mood.,Una pintura es un arte visual que utiliza un medio aplicado de manera intencional para transmitir una experiencia o estado emocional estético.,pintura
852,to tell a falsehood or false statement.,decir una mentira o declaración falsa.,mentir
853,a feeling of warmth or the warm condition of something,un sentimiento de calor o la condición cálida de algo,calor
854,not true or accurate,no verdadero o preciso,falso/falsa
855,the amount of work or energy needed to accomplish something,la cantidad de trabajo o energía necesaria para lograr algo,esfuerzo
856,a large group of people,un gran grupo de personas,multitud
857,the rights granted to citizens by a country's constitution or laws,los derechos otorgados a los ciudadanos por la Constitución o leyes de un país,derechos
858,A plan or conception for making something,Un plan o concepción para hacer algo,diseño
859,a period of travel or recreation,un período de viaje o recreación,gira
860,"A country or community of people who share a common culture, history, and nationality.","Un país o comunidad de personas que comparten una cultura, historia y nacionalidad común.",nación
861,to be able to pay for something,permítirse algo,permitirse
862,A cavity or opening in a solid surface.,Un agujero o cavidad en una superficie sólida.,agujero
863,the state of being answerable or accountable for something,el estado de ser responsable o rendible por algo,responsabilidad
864,A container made of clay or ceramic material used for cooking,Un recipiente hecho de barro o cerámica utilizado para cocinar,olla
865,A hotel is a business that provides lodging and other services to travelers.,Un hotel es una empresa que ofrece alojamiento y otros servicios a viajeros.,hotel
866,A head covering typically worn for protection from the elements.,Un tapante que se viste para protegerse del clima.,sombrero
867,relating to or originating from another country,relacionado o proveniente de otro país,extranjero/extranjera
868,feeling unwell; ill,suelto de enfermedad; enfermo/enferma,enfermo/enferma
869,to give permission or consent,dar permiso o consentimiento,permitir
870,A person who has acquired great skill or expertise in a particular area.,Un individuo que ha adquirido gran habilidad o expertos en un área particular.,maestro/maestra
871,the amount of money owed to someone or something,el monto de dinero que se debe a alguien o algo,crédito
872,covered in water or having a moisture content greater than usual,saturado/a de agua o con un contenido de humedad mayor que el habitual,mojado/mojada
873,a structure that supports or holds something,una estructura que apoya o sostiene algo,marco
874,relating to or happening very recently,relacionado con o ocurrido muy recientemente,reciente
875,the act of forming an opinion about something,el acto de formar una opinión sobre algo,estimación
876,A line or series of objects aligned in a straight direction.,Una línea o serie de objetos alineados en una dirección recta.,fila/remo
877,The outer layer of the body that protects it from external damage.,La capa externa del cuerpo que lo protege de daños externos.,piel
878,Not influenced by external factors; self-sufficient,No influenciado por factores externos; autosuficiente,independiente
879,a person or thing that is to blame for something,una persona o cosa que es responsable de algo,culpa/falla
880,a situation that poses a threat to health or safety,una situación que representa un riesgo para la salud o la seguridad,peligro
881,A trip is a journey or excursion from one place to another.,Un viaje es una jornada o excursión de un lugar a otro.,viaje
882,the ability to enter or use something,el acceso a algo,acceso
883,conforming to the laws and standards of a country or organization,cumplendo con las leyes y normas de un país o organización,legal
884,to raise or lift something upward,levantar algo hacia arriba,levantar
885,unexpectedly strange or unconventional,inesperadamente extraño o inusual,raro/rara
886,to deal with something in a kind and generous way,tratar algo de una manera amable e generosa,tratar
887,following customs or practices that have been passed down through generations,siguiendo costumbres o prácticas que han sido transmitidas a lo largo de las generaciones,tradicional
888,a formal assertion or declaration made on behalf of someone or something,una afirmación o declaración formal hecha en nombre de alguien o algo,declaración
889,"A long, narrow room filled with bottles and used for serving drinks.",Un largo y estrecho espacio lleno de botellas utilizado para servir bebidas.,bar
890,the quality of being fair and just,la calidad de ser justo e imparcial,justicia
891,habitually occurring or done; typical of a place or situation.,ocurring habitualmente o hecha; tipica de un lugar o situación.,habitual/usual
892,the ability to learn or understand,la capacidad de aprender o entender,conocimiento
893,a state of tranquility and freedom from conflict,un estado de tranquilidad y libertad de conflicto,paz
894,A person or thing that is studied in a particular field of study.,Un individuo o cosa que se estudia en un determinado campo de estudio.,sujeto/asunto
895,A large vehicle used for transporting people or goods,Un gran vehculo utilizado para transportar a personas o mercadotecas,autobús
896,a subdivision of a larger organization that often deals with specific activities or functions.,una subdivisión de una organización más grande que a menudo se ocupa de actividades o funciones específicas.,departamento
897,a person authorized to enforce laws and maintain order.,una persona autorizada para enforcer las leyes y mantener el orden.,oficial
898,extremely good or exciting,muy bueno o emocionante,fabuloso/fabulosa
899,characterized by or suggesting luxury or refinement,caracterizada por o sugiriendo lujo o refinamiento,elegante
900,items made of fabric worn on the body.,artículos hechos de tela que se llevan en el cuerpo.,ropa
901,The moon is the natural satellite of Earth.,La luna es el satélite natural de la Tierra.,luna
902,A set of things that belong together or are related in some way.,Un conjunto de cosas que pertenecen juntas o están relacionadas de alguna manera.,colección
903,completely firm or squeezed in a way that will not allow anything to pass through.,completamente firme o comprimido de modo que no permitirá que pase algo.,apretado/apretada
904,A highly skilled or knowledgeable person.,Un experto o experta en un campo determinado.,experto/experta
905,the natural world around us,el mundo natural alrededor de nosotros,medio ambiente
906,extremely angry or upset,extremadamente enojado o enfadado,loco/loca
907,"A sudden stoppage of work or activity, often used to convey a strong protest.",Un cese repentino de trabajo o actividad,huelga
908,the act of maintaining something in a stable condition,el acto de mantener algo en un estado estable,equilibrio
909,the state of being good,el estado de bondad,bondad
910,extending or having great width,teniendo o extendiendo gran ancho,ancho/ancha
911,A flat dish used for serving food.,Un plato plano utilizado para servir comida.,plato
912,the white liquid food obtained from milk-producing mammals,la comida blanca obtenida de los mamíferos productores de leche,leche
913,The flavour of a dish is its characteristic taste or aroma.,El sabor de un plato es su característico gusto o aroma.,sabor
914,A sweet and nutritious part of a plant that grows from a flower and contains seeds.,Un dulce y nutritivo parte de una planta que crece desde un flor y contiene semillas.,fruta
915,The opposition to a proposed law or policy refers to the group of people who actively work against it.,La oposición a una propuesta de ley o política se refiere al grupo de personas que trabajan activamente en contra de ella.,oposición
916,free from disturbance or turmoil.,libre de disturbio o tormenta.,calmado/calmada
917,The culture of a society is its shared values and practices.,La cultura de una sociedad es sus valores y prácticas compartidos.,cultura
918,characterized by a middle value in a series of values,caracterizado por un valor medio en una serie de valores,promedio
919,a feeling of guilt or regret for having done something wrong,un sentimiento de culpa o arrepentimiento por haber hecho algo malo,vergüenza
920,a small child,un niño pequeño,pis (infantil)
921,a person receiving treatment for an illness or injury,un paciente que recibe tratamiento para una enfermedad o lesión,paciente
922,extremely beautiful or impressive.,extremadamente bonito o impresionante.,precioso/preciosa
923,a meal typically eaten in the middle of the day,un almuerzo típico comúnmente comido a mediodía,almuerzo
924,to make certain or guarantee something,hacer seguro o garantizar algo,asegurar
925,the achievement of winning a contest or conflict,el logro de ganar una competencia o conflicto,victoria
926,to strike lightly and repeatedly with one's fist or a blunt object,hacer un golpe suave y repetido con la mano o un objeto plano,golpear/llamar
927,"A beach is a landform along a body of water, typically having white sand and pebbles.","Una playa es una formación de tierra junto a un cuerpo de agua, típicamente con arena blanca y piedras.",playa
928,the covering of a building,el techo de un edificio,techo
929,a formal public address given by an elected official to inform the people about their policies or actions.,un discurso formal y público dirigido a la gente para informar sobre las políticas o acciones de un funcionario elegido.,discurso
930,A point of connection or a means of communication.,Un punto de conexión o un medio de comunicación.,contacto
931,comprising all of something,compuesto por todo de algo,entero/entera
932,a model to which others are compared,un modelo a partir del cual se comparan otros,estándar
933,The nose is the organ of smell and a prominent feature of the face.,La nariz es el órgano del olfato y una característica prominente del rostro.,nariz
934,A group of people working together on a ship or aircraft.,Un grupo de personas trabajando juntas en un barco o avión.,tripulación
935,the act or process of using up something valuable or useful,el acto o proceso de agotar algo valioso o útil,residuo/desperdicio
936,"A written account of one's experience or opinion about a product, service, or event.","Un informe escrito sobre una experiencia o opinión sobre un producto, servicio u evento.",reseña/revisión
937,A global network providing access to a vast amount of information and services.,Una red mundial que proporciona acceso a una gran cantidad de información y servicios.,internet
938,the base of a building is its lowest horizontal level,la base de un edificio es su nivel horizontal más bajo,base
939,A series of graduated steps or ranks.,Una serie de escalones o rangos graduados.,escala
940,A device that produces a current of air for the purpose of cooling or ventilation.,Un dispositivo que produce una corriente de aire para el propósito de enfriar o ventilar.,ventilador/aficionado
941,to take notice of something,dar noticia de algo,notar
942,to force air out of something,forzar el aire fuera de algo,soplar
943,A smile is a facial expression that shows happiness or friendliness.,Una sonrisa es una expresión facial que muestra alegría o amistad.,sonrisa
944,the largest or most important group in a group of people or things,la mayoría o el grupo más grande de una serie de personas o cosas,mayoría
945,Having or showing a strong and impressive ability to do something.,Tener o mostrar una fuerte y impresionante capacidad para hacer algo.,poderoso/poderosa
946,A small natural elevation of the land.,Una pequeña elevación natural de la tierra.,colina
947,Feeling or expressing intense hostility or resentment.,Sentimiento o expresión de intensa hostilidad o resentimiento.,enojado/enojada
948,The act of changing place or position.,El acto de cambiar lugar o posición.,movimiento
949,relating to a single person or thing as opposed to a group.,aplicable a una persona o cosa en lugar de un grupo.,individual
950,to determine the number of things in a set or to keep track of something,determinar el número de cosas en un conjunto o mantener cuenta de algo,contar
951,occurring or existing before something else in time,ocurriendo o existiendo antes de algo más en tiempo,anterior
952,"A person who creates artworks such as paintings, sculptures, or photographs.","Una persona que crea obras de arte como pinturas, esculturas o fotografías.",artista
953,a person who drives a vehicle,una persona que conduce un vehculo,conductor/conductora
954,the act of getting closer to something or someone,el acto de acercarse a algo o a alguien,enfoque/acercamiento
955,the process of making gradual improvements or progress in a particular area.,el proceso de hacer avances o progresos graduales en una área específica.,desarrollo
956,a licensed establishment that serves alcoholic beverages,una institución licenciada que sirve bebidas alcohñicas,pub
957,a unit of British currency equal to one pound,una unidad de moneda británica igual a una libra esterlina,libra esterlina
958,"The media refer to the various channels of communication such as television, radio, and newspapers.","Los medios son las diferentes vías de comunicación como la televisión, la radio y los periódicos.",medios
959,A structure built across a physical obstacle to facilitate crossing.,Una estructura construida sobre un obstáculo físico para facilitar el paso.,puente
960,A place where people live and have their home.,Un lugar donde las personas viven y tienen su hogar.,vivienda
961,located at a lower position or distance,ubicado en una posición o distancia inferior,debajo
962,A substance used for coloring or decorating surfaces.,Un sustancia utilizada para colorar o decorar superficies.,pintura
963,A combination of two or more things to form a new whole.,Un combate de dos o más cosas para formar un nuevo todo.,mezcla
964,to bring or cause something to be created,llevar a crear o causar que se cree algo,producir
965,A limb attached to the shoulder joint by bones and muscles.,Un brazo que se une al hombro mediante huesos y músculos.,brazo
966,of very poor quality,de muy mala calidad,basura
967,The current generation of technology refers to the latest advancements in computing and communication.,La actual generación de tecnología se refiere a las últimas avances en computación y comunicación.,generación
968,extremely good or excellent,extremadamente bueno o excelente,impresionante
969,a thing or object that is being considered or discussed,un objeto o cosa que se está considerando o discutiendo,artículo
970,a feeling of worry or anxiety about something,un sentimiento de preocupación o ansiedad sobre algo,preocupación
971,not even one of a kind; unusual or unexpected,"no igual que ningñ; extra
o",extraño/extraña
972,a quarter of a dollar,una cuarta parte de un dólar,cuarto
973,the state of things as they actually exist,el estado de las cosas como realmente existen,realidad
974,the act of killing someone intentionally,el acto de matar a alguien intencionalmente,asesinato
975,a puzzling or inexplicable event or situation,un evento o situación intrigante y desconocida,misterio
976,having or showing a major impact or influence,teniendo o mostrando un impacto o influencia importante,significativo/significativa
977,a person who is professionally trained to prepare food and cook meals.,un profesional capacitado para preparar comida y cocinar comidas.,chef
978,"a view or judgment formed about something, not necessarily based on fact or knowledge.","una opinión o juicio formado sobre algo, no necesariamente basado en hechos o conocimiento.",opinión
979,The amount of money needed to carry out a project or business venture.,El monto de dinero necesario para llevar a cabo un proyecto o negocio,financiamiento
980,A crystalline mineral used primarily for seasoning food.,Un mineral cristalino utilizado principalmente para sazonar alimentos.,sal
981,accountable for one's actions and decisions,cualificado para asumir responsabilidad por sus acciones y decisiones,responsable
982,to acknowledge or accept something as true,aceptar o reconocer algo como cierto,reconocer
983,relating to the best or most well-known style of a particular time period.,relacionado con el estilo más destacado de una época específica.,clásico/clásica
984,a source of money or financial support.,una fuente de dinero o apoyo financiero.,fondo
985,A container made of ceramic or glass used for eating or serving food.,Un recipiente hecho de cerámica o vidrio utilizado para comer o servir comida.,tazón
986,a baked food made from flour and water,un alimento horneado hecho de harina y agua,pan
987,the state of being married,el estado de estar casado,matrimonio
988,a plan or project for achieving something,un plan o proyecto para lograr algo,esquema
989,Respectfully addressing someone with this title implies that the person has achieved a high level of expertise in their field.,Dirigiéndose respetuosamente a alguien con este título implica que la persona ha alcanzado un alto nivel de experteza en su campo.,profesional
990,The application of scientific knowledge for practical purposes.,La aplicación del conocimiento científico para fines prácticos.,tecnología
991,the act of searching for something in a systematic way,el acto de buscar algo de manera sistemática,caza
992,A van is a type of vehicle with a single cabin and usually two or more wheels.,Una furgoneta es un vehculo de transporte con una cabina unitaria y generalmente dos o mas ruedas.,furgoneta
993,a favour is a benefit or service that one person does for another without expecting anything in return.,un favor es un beneficio o servicio que una persona hace por otra sin esperar nada a cambio.,favor
994,a particular course or line of movement,una dirección o rumbo específico,dirección
995,"used to indicate a position or place within a group of people, things, or ideas.","se utiliza para indicar una posición o lugar dentro de un grupo de personas, cosas o ideas.",entre
996,to bring something to a person or place by vehicle or other means,llevar algo a una persona o lugar mediante vehículo o otro medio,entregar
997,the address where someone or something can be found,el lugar donde alguien o algo se puede encontrar,dirección
998,A person authorized to hear evidence and decide cases in a court of law.,Un individuo autorizado para escuchar pruebas y decidir casos en un tribunal.,juez
999,the reaction or reply given to a question or statement,la reacción o respuesta dada a una pregunta o declaración,respuesta
1000,to supply or provide food for someone or something,suministrar o proporcionar alimento a alguien o algo,alimentar
1001,A season of renewal and new life.,Una temporada de renovacion y nueva vida.,primavera
1002,a goal or objective that is to be achieved through effort and determination.,un objetivo o meta que se debe alcanzar a través de esfuerzo y determinación.,mission
1003,not commonly found or experienced,no común o poco frecuente,raro/rara
1004,a person in charge of a company or organization,un individuo que dirige una compañía o organización,jefe/jefa
1005,a large and impressive fortified structure,un gran y impresionante edificio fortificado,castillo
1006,"A brand is a name or logo used to identify a product, service, or company.","Una marca es un nombre o logotipo utilizado para identificar una mercancía, servicio u organización.",marca
1007,"A food made from the fat of milk, used for cooking and spreading.","Un alimento hecho de la grasa del leche, utilizado para cocinar y espolvorear.",mantequilla
1008,A referendum is a direct vote in which citizens decide on a particular issue or policy.,Un referéndum es un voto directo en el que los ciudadanos deciden sobre una cuestión o política específica.,referéndum
1009,having a gentle or mild quality,teniendo una calidad suave o suave,suave
1010,to think carefully about something,pensar cuidadosamente en algo,considerar
1011,completely devoid of contents or objects,completamente vacío,vacío/vacía
1012,to assert or declare something as true or valid,afirmar o declarar algo como verdadero o válido,reclamar
1013,The act of saving someone or something from danger or difficulty.,El acto de salvar a alguien o algo de peligro o dificultad.,rescate
1014,the process of achieving something over time,el proceso de lograr algo a lo largo del tiempo,progreso
1015,A sudden or unexpected event that happens during an activity.,Un evento repentino o inesperado que ocurre durante una actividad.,accidente
1016,A person who is responsible for teaching and instructing students in a particular subject.,Una persona que es responsable de enseñar y instruir estudiantes en un tema particular.,profesor/profesora
1017,relating to or characteristic of women,relacionado o característico de mujeres,femenino/femenina
1018,a record of economic transactions or activities,un registro de transacciones o actividades económicas,cuenta
1019,a principle or standard guiding behavior or decisions.,una principia o estandar que guía el comportamiento o las decisiones.,regla
1020,a circumstance or situation in which a person is deprived of something they possess,una circunstancia o situación en la que una persona es privada de algo que posee,pérdida
1021,the act of buying goods or services,el acto de comprar bienes o servicios,compras
1022,The ability to gain an upper hand or benefit from a situation.,La capacidad de ganar una ventaja o obtener beneficio de una situación.,ventaja
1023,The total number of people living in a particular area or country at a given time.,El número total de personas que viven en un área o país específico en una fecha determinada.,población
1024,A forest is a large area dominated by trees and other woody vegetation.,Un bosque es una gran área dominada por árboles y otras vegetaciones leñosas.,bosque
1025,a genre of music characterized by its emotional intensity and often mournful tone.,un género musical caracterizado por su intensidad emocional y tono a menudo triste.,blues
1026,A sheep is a domesticated mammal often raised for its wool and meat.,Una oveja es un mamífero doméstico comúnmente criado por su lana y carne.,oveja
1027,"the state of being confident in what will happen,",,fe
1028,A payment or benefit given in addition to someone's regular pay.,Un pago o beneficio dado además de la remuneración regular de alguien.,bono
1029,The quality that makes something or someone attractive and pleasing to the senses.,La calidad que hace que algo o alguien sea atractivo y placentero para los sentidos.,belleza
1030,A mathematical representation of a system or process used to make predictions or decisions.,Un modelo matemático de un sistema o proceso utilizado para hacer predicciones o tomar decisiones.,modelo
1031,a thorough examination or inquiry to discover the facts of a case or situation.,un examen exhaustivo o investigación para descubrir los hechos de un caso o situación.,investigación
1032,A piece of work assigned to be done.,Un trabajo asignado que debe ser realizado.,tarea
1033,a person or thing that helps others navigate a situation,una persona o cosa que ayuda a otros a navegar una situación,guía
1034,to flee or get away from something,huir o salir de algo,escapar
1035,to continue existing or in effect,sustener o seguir existiendo,permanecer
1036,A feeling of happiness or enjoyment.,Un sentimiento de felicidad o disfrute.,placer
1037,a sound used to express excitement or triumph,un sonido utilizado para expresar emociones de euforia o triunfo,doo (onomatopeya)
1038,extremely bloody or violent,extremadamente sangriento o violento,sangriento/sangrienta
1039,to conceal or make something invisible,concebir o hacer algo invisible,esconder
1040,to accuse or hold someone or something responsible for a fault or wrongdoing,accusar o atribuir responsabilidad a alguien o algo por una falta u omisión,culpar
1041,having only one of a kind; unlike anything else.,tendiendo solo a un tipo único,único/única
1042,A celestial body that orbits a star,Un cuerpo celeste que orbita una estrella,planeta
1043,a meeting of people who have come together to discuss or decide on something.,una reunión de personas que se han reunido para discutir o decidir algo.,asamblea
1044,A tool used for pounding nails into wood.,Un instrumento utilizado para golpear clavos en madera.,martillo
1045,the spiritual essence or energy of a person or thing,la esencia o energía espiritual de una persona o cosa,espíritu
1046,to accomplish something successfully,lograr algo con éxito,lograr
1047,extremely tasty and enjoyable,muy sabroso y agradable,delicioso/deliciosa
1048,able to be in a state of physical or mental well-being.,capaz de ser en un estado de bienestar físico o mental.,cómodo/cómoda
1049,A piece of furniture for sitting.,Un mueble para sentarse.,silla
1050,a person of masculine sex or gender.,un hombre o persona con sexo masculino o género.,macho/varón
1051,a quantity of something that is available or held,una cantidad de algo que se tiene disponible o está disponible,existencias/acciones
1052,a popular beverage made from roasted coffee beans,un bevago común hecho de granos tostados de café,café
1053,a person who is in charge of directing a film or television show,una persona que dirige una película o programa de televisión,director/directora
1054,The neck is the part of the human body that connects the head to the torso.,El cuello es la parte del cuerpo humano que conecta la cabeza con el tronco.,cuello
1055,a situation or event that gives an indication of possible danger or harm,una situación o evento que da indicio de posible peligro o daño,amenaza
1056,An institution of higher education that awards degrees.,Una institución de educación superior que otorga títulos.,universidad/colegio
1057,the ability or power that allows someone to do something well,la capacidad o poder que permite a alguien hacer algo bien,fuerza
1058,The person or organization that has legal rights to a property or business.,La persona o empresa que tiene derechos legales a una propiedad o negocio.,propietario/propietaria
1059,a sudden situation requiring immediate attention and action,una situación inesperada que requiere atención y acción inmediata,emergencia
1060,relating to or costing little money.,relacionado con o costando poco dinero.,barato/barata
1061,A bath is a room or compartment in which water is used for bathing.,Un baño es una habitación o compartimiento en el que se utiliza agua para bañarse.,baño
1062,a point of disagreement or difference in opinion between individuals or groups.,un punto de desacuerdo o diferencia de opinión entre individuos o grupos.,argumento
1063,to press one's lips against another person's lips,presionar los labios una persona contra otra,besar
1064,"A thing or item produced on a factory, made in an assembly line.","Un producto es algo producido en una fábrica, hecho en una línea de montaje.",producto
1065,having or showing courage in the face of danger or difficulty,tenaz y valiente,valiente
1066,"A container made of glass, plastic, or other materials for holding liquids.","Un recipiente hecho de vidrio, plástico o otros materiales para contener líquidos.",botella
1067,a natural elevation of the earth's surface,una elevación natural de la superficie de la tierra,montaña
1068,A type of citrus fruit characterized by its vibrant orange color.,Una fruta cítrica de tipo que se caracteriza por su color naranja vibrante.,naranja
1069,a state of being free from pain or difficulty,un estado de libertad de dolor o dificultad,alivio
1070,the state of being free from oppression or constraint.,el estado de ser libre de opresión o coerción.,libertad
1071,to cause someone to be awake,despertar a alguien,despertar
1072,clearly visible or easily understood,claro y evidente,obvio/obvia
1073,A person with whom one has a business or personal relationship.,Una persona con la cual se mantiene una relación comercial o personal.,socio/socia
1074,A feeling or response to a situation or stimulus.,Un sentimiento o respuesta a una situación o estimulo.,reacción
1075,to prevent something from happening or to keep away from something,evitar algo o mantenerse alejado de algo,evitar
1076,a punishment imposed for breaking a rule or law.,una sanción impuesta por violar una regla o ley.,penalización/penalti
1077,A sight is a particular appearance or view that can be seen.,Una vista es una aparición o vista particular que se puede ver.,vista
1078,A visual representation of an object or scene,Una representación visual de un objeto o escena,imagen
1079,used to indicate that something is not included or excluded,usado para indicar que algo no está incluido o excluido,excepto
1080,the capacity or talent to do something well,la capacidad o talento para hacer algo bien,habilidad
1081,a small electronic device used to store and process data,un pequeñn dispositivo electrǳnico utilizado para almacenar y procesar datos,computadora/ordenador
1082,the measure of how far apart two things are,la medida de la distancia entre dos cosas,distancia
1083,to supply or cause to be full,suministrar o hacer lleno,llenar
1084,very large in size or amount,muy grande en tamaño o cantidad,gigante
1085,"to endure or continue to exist in a state of life, condition, or situation","sobrevivir en un estado de vida, condición o situación",sobrevivir
1086,The location of a place is its geographical position.,La ubicación de un lugar es su posición geográfica.,ubicación
1087,the way someone or something behaves,el modo en que alguien o algo actúa,comportamiento
1088,"A medal is an award given to a person for their achievements, especially in sports.","Una medalla es un premio otorgado a una persona por sus logros, especialmente en deportes.",medalla
1089,"the act of drinking liquids, especially as a way to enjoy an alcoholic beverage.","el acto de beber líquidos, especialmente como una manera de disfrutar un bebida alcohólica.",consumo de alcohol
1090,a small bag attached to a garment,un pequeño bolsillo atado a una prenda de vestir,bolsillo
1091,to separate or divide something into two parts,separar o dividir algo en dos partes,dividir
1092,a change or improvement made to something existing,un cambio o mejora realizado en algo existente,reforma
1093,having or characterized by health; free from disease or injury.,teniendo o caracterizado por salud; libre de enfermedad o lesión.,saludable
1094,a meeting of people who are interested in the same subject or activity,un encuentro de personas interesadas en el mismo tema o actividad,conferencia
1095,the quality of being negative or refusing to accept an offer.,la calidad de negativa o de rechazo a una oferta.,no
1096,the outer layer of a solid or liquid,la capa exterior de un sólido o líquido,superficie
1097,very bad or unpleasant,muy malo o desagradable,horrible
1098,A type of material characterized by its high strength and durability.,Un tipo de material caracterizado por su alta resistencia y durabilidad.,metal
1099,a place where goods are sold,un lugar donde se venden bienes,tienda
1100,a small part of something,un pequeño aspecto de algo,detalle
1101,to propose or recommend something,proponer o recomendar algo,sugerir
1102,a style or way of dressing and behaving that is considered fashionable,un estilo o modo de vestir y comportarse que se considera a la moda,moda
1103,relating to the diagnosis and treatment of diseases.,relacionado con la diagnóstico y tratamiento de enfermedades.,médico/médica
